Designation,G kg/m,h mm,b mm,s mm,t mm,A cm2,r1 mm,r2 mm,h1 mm
IPE AA 80,4.9,78,46,3.2,4.2,6.3,5,,
IPE A 80,5,78,46,3.3,4.2,6.4,5,,
IPE 80,6,80,46,3.8,5.2,7.6,5,,
IPE AA 100,6.7,97.6,55,3.6,4.5,8.6,7,,
IPE A 100,6.9,98,55,3.6,4.7,8.8,7,,
IPE 100,8.1,100,55,4.1,5.7,10.3,7,,
IPE AA 120,8.4,117,64,3.8,4.8,10.7,7,,
IPE A 120,8.7,117.6,64,3.8,5.1,11,7,,
IPE 120,10.4,120,64,4.4,6.3,13.2,7,,
IPE AA 140,10.1,136.6,73,3.8,5.2,12.8,7,,
IPE A 140,10.5,137.4,73,3.8,5.6,13.4,7,,
IPE 140,12.9,140,73,4.7,6.9,16.4,7,,
IPE AA 160,12.3,156.4,82,4,5.6,15.7,9,,
IPE A 160,12.7,157,82,4,5.9,16.2,9,,
IPE 160,15.8,160,82,5,7.4,20.1,9,,
IPE AA 180,14.9,176.4,91,4.3,6.2,19,9,,
IPE A 180,15.4,177,91,4.3,6.5,19.6,9,,
IPE 180,18.8,180,91,5.3,8,23.9,9,,
IPE O 180,21.3,182,92,6,9,27.1,9,,
IPE AA 200,18,196.4,100,4.5,6.7,22.9,12,,
IPE A 200,18.4,197,100,4.5,7,23.5,12,,
IPE 200,22.4,200,100,5.6,8.5,28.5,12,,
IPE O 200,25.1,202,102,6.2,9.5,32,12,,
IPE AA 220,21.2,216.4,110,4.7,7.4,27,12,,
IPE A 220,22.2,217,110,5,7.7,28.3,12,,
IPE 220,26.2,220,110,5.9,9.2,33.4,12,,
IPE O 220,29.4,222,112,6.6,10.2,37.4,12,,
IPE AA 240,24.9,236.4,120,4.8,8,31.7,15,,
IPE A 240,26.2,237,120,5.2,8.3,33.3,15,,
IPE 240,30.7,240,120,6.2,9.8,39.1,15,,
IPE O 240,34.3,242,122,7,10.8,43.7,15,,
IPE A 270,30.7,267,135,5.5,8.7,39.2,15,,
IPE 270,36.1,270,135,6.6,10.2,45.9,15,,
IPE O 270,42.3,274,136,7.5,12.2,53.8,15,,
IPE A 300,36.5,297,150,6.1,9.2,46.5,15,,
IPE 300,42.2,300,150,7.1,10.7,53.8,15,,
IPE O 300,49.3,304,152,8,12.7,62.8,15,,
IPE A 330,43,327,160,6.5,10,54.7,18,,
IPE 330,49.1,330,160,7.5,11.5,62.6,18,,
IPE O 330,57,334,162,8.5,13.5,72.6,18,,
IPE A 360,50.2,357.6,170,6.6,11.5,64,18,,
IPE 360,57.1,360,170,8,12.7,72.7,18,,
IPE O 360,66,364,172,9.2,14.7,84.1,18,,
IPE A 400,57.4,397,180,7,12,73.1,21,,
IPE 400,66.3,400,180,8.6,13.5,84.5,21,,
IPE O 400,75.7,404,182,9.7,15.5,96.4,21,,
IPE V 400,84,408,182,10.6,17.5,107,21,,
IPE A 450,67.2,447,190,7.6,13.1,85.6,21,,
IPE 450,77.6,450,190,9.4,14.6,98.8,21,,
IPE O 450,92.4,456,192,11,17.6,117.7,21,,
IPE V 450,107,460,194,12.4,19.6,132,21,,
IPE A 500,79.4,497,200,8.4,14.5,101.1,21,,
IPE 500,90.7,500,200,10.2,16,115.5,21,,
IPE O 500,107,506,202,12,19,136.7,21,,
IPE V 500,129,514,204,14.2,23,164.1,21,,
IPE A 550,92.1,547,210,9,15.7,117.3,24,,
IPE 550,106,550,210,11.1,17.2,134.4,24,,
IPE O 550,123,556,212,12.7,20.2,156.1,24,,
IPE V 550,159,566,216,17.1,25.2,202,24,,
IPE A 600,108,597,220,9.8,17.5,137,24,,
IPE 600,122,600,220,12,19,156,24,,
IPE O 600,154,610,224,15,24,196.8,24,,
IPE V 600,184,618,228,18,28,233.8,24,,
IPE 750 × 134,134,750,264,12,15.5,170.6,17,,
IPE 750 × 147,147,753,265,13.2,17,187.5,17,,
IPE 750 × 173,173,762,267,14.4,21.6,221.3,17,,
IPE 750 × 196,196,770,268,15.6,25.4,250.8,17,,
HE 100 AA,12.2,91,100,4.2,5.5,15.6,12,,
HE 100 A,16.7,96,100,5,8,21.2,12,,
HE 100 B,20.4,100,100,6,10,26,12,,
HE 100 C,30.9,110,103,9,15,39.3,12,,
HE 100 M,41.8,120,106,12,20,53.2,12,,
HE 120 AA,14.6,109,120,4.2,5.5,18.6,12,,
HE 120 A,19.9,114,120,5,8,25.3,12,,
HE 120 B,26.7,120,120,6.5,11,34,12,,
HE 120 C,39.2,130,123,9.5,16,49.9,12,,
HE 120 M,52.1,140,126,12.5,21,66.4,12,,
HE 140 AA,18.1,128,140,4.3,6,23,12,,
HE 140 A,24.7,133,140,5.5,8.5,31.4,12,,
HE 140 B,33.7,140,140,7,12,43,12,,
